Strong Text    Ftarget:0.15 f=0.55 d:0.82
168 Fi=0.367002 Di=0.94377 Ti=-1 Pi=0.720861
169 Fi=0.364412 Di=0.944497 Ti=-1 Pi=0.722438
170 Fi=0.363756 Di=0.945078 Ti=-1 Pi=0.722923
171 Fi=0.363063 Di=0.945296 Ti=-1 Pi=0.723351
172 Fi=0.363063 Di=0.945042 Ti=-1 Pi=0.723297
173 Fi=0.361859 Di=0.945187 Ti=-1 Pi=0.723992
174 Fi=0.360655 Di=0.945332 Ti=-1 Pi=0.724688
175 Fi=0.358831 Di=0.945296 Ti=-1 Pi=0.725691
176 Fi=0.358722 Di=0.944025 Ti=-1 Pi=0.725484
177 Fi=0.357153 Di=0.945042 Ti=-1 Pi=0.726569
178 Fi=0.358248 Di=0.943879 Ti=-1 Pi=0.725716
179 Fi=0.360363 Di=0.945223 Ti=-1 Pi=0.724827
180 Fi=0.085139 Di=0.788594 Ti=0 Pi=0.902928
